code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	labels	labels_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	pnns_groups_1	pnns_groups_2	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0076301771093	https://world.openfoodfacts.org/product/0076301771093	usda-ndb-import	1489073524	1498399714	100% Juice From Concentrate, Strawberry Blood Orange					Apple & Eve,  Apple & Eve   Llc	apple-eve,apple-eve-llc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	100% juice (filtered water sufficient to reconstitute apple, beet and blood orange juice concentrates, strawberry and raspberry purees, and pear juice concentrate), natural flavors, ascorbic acid (vitamin c), vegetable color, citric acid, xanthan gum					240 ml (8 fl oz)		2	 [ 100-juice -> en:100-juice  ]  [ juice -> en:juice  ]  [ filtered-water-sufficient-to-reconstitute-apple -> en:filtered-water-sufficient-to-reconstitute-apple  ]  [ water-sufficient-to-reconstitute-apple -> en:water-sufficient-to-reconstitute-apple  ]  [ sufficient-to-reconstitute-apple -> en:sufficient-to-reconstitute-apple  ]  [ to-reconstitute-apple -> en:to-reconstitute-apple  ]  [ reconstitute-apple -> en:reconstitute-apple  ]  [ apple -> en:apple  ]  [ beet-and-blood-orange-juice-concentrates -> en:beet-and-blood-orange-juice-concentrates  ]  [ and-blood-orange-juice-concentrates -> en:and-blood-orange-juice-concentrates  ]  [ blood-orange-juice-concentrates -> en:blood-orange-juice-concentrates  ]  [ orange-juice-concentrates -> en:orange-juice-concentrates  ]  [ juice-concentrates -> en:juice-concentrates  ]  [ concentrates -> en:concentrates  ]  [ strawberry-and-raspberry-purees -> en:strawberry-and-raspberry-purees  ]  [ and-raspberry-purees -> en:and-raspberry-purees  ]  [ raspberry-purees -> en:raspberry-purees  ]  [ purees -> en:purees  ]  [ and-pear-juice-concentrate -> en:and-pear-juice-concentrate  ]  [ pear-juice-concentrate -> en:pear-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ]  [ vegetable-color -> en:vegetable-color  ]  [ color -> en:colour  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ xanthan-gum -> en:e415  -> exists  -- ok  ] 	en:e330,en:e415	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0																																				11.67	11.67										0				0.01524	0.006							0.05																																											
0819898014026	https://world.openfoodfacts.org/product/0819898014026	openfoodfacts-contributors	1424628207	1489091679	100% Juice Fruit Punch			Box	box	back to NATURE, Back To Nature Foods Company  Llc	back-to-nature,back-to-nature-foods-company-llc	Fruit juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:non-alcoholic-beverages	Non-GMO	en:no-gmos											United States	Filtered water, fruit juice concentrate (apple, pear, and cherry), natural flavors, citric acid (for tartness).					177 ml (1 POUCH)		1	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ fruit-juice-concentrate -> en:fruit-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ apple -> en:apple  ]  [ pear -> en:pear  ]  [ and-cherry -> en:and-cherry  ]  [ cherry -> en:cherry  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ citric-acid -> en:e330  -> exists  -- ok  ]  [ for-tartness -> en:for-tartness  ]  [ tartness -> en:tartness  ] 	en:e330	0			0			Beverages	Fruit juices	en:fruit-juices	https://static.openfoodfacts.org/images/products/081/989/801/4026/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/081/989/801/4026/front_en.4.200.jpg	https://static.openfoodfacts.org/images/products/081/989/801/4026/front_en.4.400.jpg	https://static.openfoodfacts.org/images/products/081/989/801/4026/front_en.4.200.jpg					188		0																																				11.3	9.6										0				0.01524	0.006																																																		
2505008	https://world.openfoodfacts.org/product/2505008	stephane	1441367889	1441963656	100% Juice Fruit Punch	Blend of 4 juices from concentrate with added ingredients	6 fl oz (177 mL)	Card,Box,Pasteurized	card,box,pasteurized	Minute Maid	minute-maid	Concentrated multifruit juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:concentrated-fruit-juices,en:multifruit-juices,en:concentrated-multifruit-juices,en:non-alcoholic-beverages	No sugar added,FSC Mix,FSC C014047,Kosher	en:low-or-no-sugar,en:fsc,en:kosher,en:fsc-c014047,en:fsc-mix,en:no-added-sugar									Pennsylvania		United States						177 mL											Beverages	Fruit juices	en:concentrated-multifruit-juices	https://static.openfoodfacts.org/images/products/2505008/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/2505008/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/2505008/front_en.7.400.jpg	https://static.openfoodfacts.org/images/products/2505008/front_en.7.200.jpg	https://static.openfoodfacts.org/images/products/2505008/ingredients_en.9.400.jpg	https://static.openfoodfacts.org/images/products/2505008/ingredients_en.9.200.jpg	https://static.openfoodfacts.org/images/products/2505008/nutrition_en.8.400.jpg	https://static.openfoodfacts.org/images/products/2505008/nutrition_en.8.200.jpg	213		0																																				12.4	10.7										0				0.0215	0.00847							0.0339														0.0565			0.00452																										
0046700600010	https://world.openfoodfacts.org/product/0046700600010	usda-ndb-import	1489141292	1498399715	100% Juice Organics, Natural Style Apple					Apple & Eve	apple-eve	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Organic 100% apple juice (filtered water sufficient to reconstitute organic natural style apple juice concentrate, organic apple essence), ascorbic acid (vitamin c).					240 ml (8 fl oz)		1	 [ organic-100-apple-juice -> en:organic-100-apple-juice  ]  [ 100-apple-juice -> en:100-apple-juice  ]  [ apple-juice -> en:apple-juice  ]  [ juice -> en:juice  ]  [ filtered-water-sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate -> en:filtered-water-sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate  ]  [ water-sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate -> en:water-sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate  ]  [ sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate -> en:sufficient-to-reconstitute-organic-natural-style-apple-juice-concentrate  ]  [ to-reconstitute-organic-natural-style-apple-juice-concentrate -> en:to-reconstitute-organic-natural-style-apple-juice-concentrate  ]  [ reconstitute-organic-natural-style-apple-juice-concentrate -> en:reconstitute-organic-natural-style-apple-juice-concentrate  ]  [ organic-natural-style-apple-juice-concentrate -> en:organic-natural-style-apple-juice-concentrate  ]  [ natural-style-apple-juice-concentrate -> en:natural-style-apple-juice-concentrate  ]  [ style-apple-juice-concentrate -> en:style-apple-juice-concentrate  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ organic-apple-essence -> en:organic-apple-essence  ]  [ apple-essence -> en:apple-essence  ]  [ essence -> en:essence  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ] 	en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									209		0																																				12.08	10.42										0				0.02032	0.008							0.025																																											
0713733140355	https://world.openfoodfacts.org/product/0713733140355	usda-ndb-import	1489143330	1498399715	100% Juice Style Apple Juice From Concentrate With Added Ingredients, Gala					Meijer,  Meijer  Inc.	meijer,meijer-inc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Apple juice from concentrate (filtered water, apple juice concentrate), natural flavors, ascorbic acid (vitamin c).					240 ml (8 fl oz)		1	 [ apple-juice-from-concentrate -> en:apple-juice-from-concentrate  ]  [ juice-from-concentrate -> en:juice-from-concentrate  ]  [ from-concentrate -> en:from-concentrate  ]  [ concentrate -> en:concentrate  ]  [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ natural-flavors -> en:natural-flavors  ]  [ flavors -> en:flavors  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ] 	en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0	0																																	0		11.67	11.67										0				0.0381	0.015							0.03																																			5	-3							
0011110025029	https://world.openfoodfacts.org/product/0011110025029	usda-ndb-import	1489073120	1498399715	100% Juice Unfiltered Apple From Concentrate					Kroger,  The Kroger Co.	kroger,the-kroger-co	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Water, apple juice concentrate.					240 ml (8 fl oz)		0	 [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0	0																																	0	0	11.25	11.25									0	0				0.0381	0.015		0					0														0		0																			5	-3							
0070590110045	https://world.openfoodfacts.org/product/0070590110045	usda-ndb-import	1489070601	1498399715	100% Juice, Apple					Veryfine,  Sunny Delight Beverages Company	veryfine,sunny-delight-beverages-company	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Filtered water, apple juice concentrate, and contains 2% or less of the following: ascorbic acid (vitamin c), natural flavor.					340 ml (1 CAN)		0	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ and-contains-2-or-less-of-the-following -> en:and-contains-2-or-less-of-the-following  ]  [ contains-2-or-less-of-the-following -> en:contains-2-or-less-of-the-following  ]  [ 2-or-less-of-the-following -> en:2-or-less-of-the-following  ]  [ or-less-of-the-following -> en:or-less-of-the-following  ]  [ less-of-the-following -> en:less-of-the-following  ]  [ of-the-following -> en:of-the-following  ]  [ the-following -> en:the-following  ]  [ following -> en:following  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ]  [ natural-flavor -> en:natural-flavor  ]  [ flavor -> en:flavor  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									209		0																																				12.06	12.06										0				0.01016	0.004							0.0176												0.115				0.00011																											
0011150017145	https://world.openfoodfacts.org/product/0011150017145	usda-ndb-import	1489071267	1498399716	100% Juice, Apple					Roundy's	roundy-s	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Water, apple juice concentrate, ascorbic acid (vitamin c).					240 ml (8 fl oz)		0	 [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									209		0																																			0	12.5	10.83										0				0.0254	0.01							0.0325																																											
0011822584234	https://world.openfoodfacts.org/product/0011822584234	usda-ndb-import	1489073146	1498399716	100% Juice, Apple					Big Win,  Rite Aid Corporation	big-win,rite-aid-corporation	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Filtered water, apple juice concentrate, ascorbic acid (vitamin c).					240 ml (8 fl oz)		0	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0																																				11.67	11.67										0				0.0381	0.015							0.03																																											
0070784058207	https://world.openfoodfacts.org/product/0070784058207	usda-ndb-import	1489074442	1498399716	100% Juice, Apple					Tops,  Tops Markets  Llc	tops,tops-markets-llc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Concentrated apple juice, ascorbic acid (vitamin c).					71 g (0.25 cup)		0	 [ concentrated-apple-juice -> en:concentrated-apple-juice  ]  [ apple-juice -> en:apple-juice  ]  [ juice -> en:juice  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									707		0	0																																	0		40.85	40.85										1.41				0.03556	0.014							0.1014																																			10	6							
0074390000940	https://world.openfoodfacts.org/product/0074390000940	usda-ndb-import	1489074556	1498399716	100% Juice, Apple					Harvest Classic	harvest-classic	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Water, apple juice concentrate, ascorbic acid (vitamin c).					240 ml (8 fl oz)		0	 [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0																																				11.67	11.67										0				0.0381	0.015							0.0325												0.108																															
0041152423583	https://world.openfoodfacts.org/product/0041152423583	usda-ndb-import	1489076050	1498399716	100% Juice, Apple					Clover Valley,  Clement Pappas & Co.  Inc.	clover-valley,clement-pappas-co-inc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Filtered water, apple juice concentrate, ascorbic acid (vitamin c).					240 ml (8 fl oz)		0	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ ascorbic-acid -> en:e300  -> exists  -- mandatory_additive_class: en:acidity-regulator,en:antioxidant,en:flour-treatment-agent,en:sequestrant (current: ingredient)  -> exists as a vitamin en:l-ascorbic-acid  ]  [ vitamin-c -> en:vitamin-c  -> exists as a vitamin en:vitamin-c and current class is en:vitamins  ] 		0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0																																				11.67	11.67										0				0.0381	0.015							0.03																																											
0075450008432	https://world.openfoodfacts.org/product/0075450008432	usda-ndb-import	1489091113	1498399717	100% Juice, Apple					Hy-Vee  Inc.	hy-vee-inc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Water, apple juice concentrate, natural flavor, ascorbic acid, citric acid.					177 ml (1 POUCH)		2	 [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ natural-flavor -> en:natural-flavor  ]  [ flavor -> en:flavor  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ citric-acid -> en:e330  -> exists  -- ok  ] 	en:e300,en:e330	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									188		0	0																																	0	0	11.86	11.3									0	0				0.01524	0.006		0					0.0339														0		0																			5	-3							
0041498166663	https://world.openfoodfacts.org/product/0041498166663	usda-ndb-import	1489096570	1498399717	100% Juice, Apple					Nature's Nectar	nature-s-nectar	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Filtered water, concentrated apple juice, ascorbic acid (vitamin c).					200 ml (200 ml)		1	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ concentrated-apple-juice -> en:concentrated-apple-juice  ]  [ apple-juice -> en:apple-juice  ]  [ juice -> en:juice  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ] 	en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									188		0																																				11.5	11.5										0				0.02032	0.008							0.033												0.115		0.01																													
0028500120714	https://world.openfoodfacts.org/product/0028500120714	usda-ndb-import	1489138020	1498399717	100% Juice, Apple					Lucky Leaf,  Knouse Foods Inc.	lucky-leaf,knouse-foods-inc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Apple juice from concentrate (water and apple juice concentrate), apple juice and ascorbic acid (vitamin c).					240 ml (8 fl oz)		1	 [ apple-juice-from-concentrate -> en:apple-juice-from-concentrate  ]  [ juice-from-concentrate -> en:juice-from-concentrate  ]  [ from-concentrate -> en:from-concentrate  ]  [ concentrate -> en:concentrate  ]  [ water-and-apple-juice-concentrate -> en:water-and-apple-juice-concentrate  ]  [ and-apple-juice-concentrate -> en:and-apple-juice-concentrate  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ apple-juice-and-ascorbic-acid -> en:apple-juice-and-ascorbic-acid  ]  [ juice-and-ascorbic-acid -> en:juice-and-ascorbic-acid  ]  [ and-ascorbic-acid -> en:and-ascorbic-acid  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ] 	en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									209		0																																				12.92	10.83										0				0.0254	0.01							0.03																																											
0085239665169	https://world.openfoodfacts.org/product/0085239665169	usda-ndb-import	1489139383	1498399717	100% Juice, Apple					Market Pantry	market-pantry	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	Filtered water, apple juice concentrate, and ascorbic acid (vitamin c).					240 ml (8 fl oz)		1	 [ filtered-water -> en:filtered-water  ]  [ water -> en:water  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ and-ascorbic-acid -> en:and-ascorbic-acid  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ] 	en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0	0																																	0	0	11.67	11.67									0	0				0.0381	0.015		0					0.03														0		0																			5	-3							
0076301722125	https://world.openfoodfacts.org/product/0076301722125	usda-ndb-import	1489141296	1498399717	100% Juice, Apple					Apple & Eve,  Apple & Eve   Llc	apple-eve,apple-eve-llc	Squeezed-apple-juices	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices-and-nectars,en:fruit-juices,en:apple-juices,en:squeezed-juices,en:squeezed-apple-juices,en:non-alcoholic-beverages													US	100% apple juice (filtered water sufficient to reconstitute apple juice concentrate), ascorbic acid (vitamin c), malic acid.					240 ml (8 fl oz)		2	 [ 100-apple-juice -> en:100-apple-juice  ]  [ apple-juice -> en:apple-juice  ]  [ juice -> en:juice  ]  [ filtered-water-sufficient-to-reconstitute-apple-juice-concentrate -> en:filtered-water-sufficient-to-reconstitute-apple-juice-concentrate  ]  [ water-sufficient-to-reconstitute-apple-juice-concentrate -> en:water-sufficient-to-reconstitute-apple-juice-concentrate  ]  [ sufficient-to-reconstitute-apple-juice-concentrate -> en:sufficient-to-reconstitute-apple-juice-concentrate  ]  [ to-reconstitute-apple-juice-concentrate -> en:to-reconstitute-apple-juice-concentrate  ]  [ reconstitute-apple-juice-concentrate -> en:reconstitute-apple-juice-concentrate  ]  [ apple-juice-concentrate -> en:apple-juice-concentrate  ]  [ juice-concentrate -> en:juice-concentrate  ]  [ concentrate -> en:concentrate  ]  [ ascorbic-acid -> en:e300  -> exists  -- ok  ]  [ vitamin-c -> en:vitamin-c  ]  [ c -> en:c  ]  [ malic-acid -> en:e296  -> exists  -- ok  ] 	en:e296,en:e300	0			0			Beverages	Fruit juices	en:squeezed-apple-juices									192		0																																				10.83	9.17										0.42				0.00508	0.002							0.03																																											
